words,喜び,信頼,恐怖,驚愕,悲しみ,嫌悪,怒り,期待
終わっ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
常に,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
謎,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
訪れ,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
比べ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
すれ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
到着,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
行為,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
維持,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
命令,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
減少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
様子,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
注目,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
依頼,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
起用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
立場,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
思い,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
困難,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
」”.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
応じ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
を通じて,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
目標,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
低い,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
回復,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
確保,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
対立,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
目指し,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
理解,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0
意識,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
期待,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
記憶,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
指名,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
逮捕,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0
起き,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
教え,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
検討,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
くれ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
結局,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
危険,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
判明,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
助け,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
傾向,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
大幅,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
調整,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
だろ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ぶり,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
少なく,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
多かっ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
率いる,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
描写,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
失っ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
人生,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
敗北,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
事実,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
表明,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
知る,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
地位,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
べく,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
優れ,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0
襲撃,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
果たす,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
改善,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
低,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
守る,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
増え,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
否定,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
上昇,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
こそ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
進ん,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
認識,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
強,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
命じ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
部下,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
かかわら,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
目指す,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
語る,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
超え,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
精神,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
低下,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
血,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
生き,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
秘密,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
送っ,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
負傷,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
希望,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
承認,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
崩壊,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
正体,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
拒否,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
聞い,1.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0
安定,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
対抗,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
連れ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
捜査,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
詩,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
仲,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
育成,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
確立,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
進む,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
十分,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
殺さ,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
良く,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
起こっ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
脱出,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
不足,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
発揮,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0
優秀,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
すぎ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
受け入れ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
あげ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
恐れ,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0
対決,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
興味,0.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0
視,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0
試み,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
殺し,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0
爆発,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0
達し,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
手紙,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
次第に,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0
死ん,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
終え,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
構想,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
昇進,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
将来,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
機会,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
罪,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
せよ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
事態,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
を通して,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
危機,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
世代,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
そんな,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
ダメージ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
態度,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0
続き,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
混乱,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
重視,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
かも,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
決意,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
有力,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
本格,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
抵抗,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
深い,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
実力,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
感情,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
約束,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
激しい,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
知り,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
考慮,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
帰還,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
再現,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
争い,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
決まっ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
今後,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
推薦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
悪化,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
雨,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
言え,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
感,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
解消,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
くれる,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
早く,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
寄せ,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
涙,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
姿勢,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
予想,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
価値,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
言い,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
歌っ,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
反乱,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
最強,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
再会,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
幼い,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
伝える,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
突破,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
話し,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
いき,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
生命,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ざる,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
抱い,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
出来事,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
証言,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
攻略,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
次々,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
信じ,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0
深く,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
発動,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
観客,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
暗殺,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
到達,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
関心,0.0,5.0,0.0,0.0,0.0,7.0,0.0,1.0
過ごし,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
歌う,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
させ,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
信頼,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
重ね,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
選定,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
課題,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
消え,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
選ん,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
決戦,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
立っ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
亡くなっ,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
功績,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ついに,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
触れ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
打撃,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
突然,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
殺人,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
しかしながら,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
故郷,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
手術,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
死者,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
定着,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
訴え,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
それでも,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
優先,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
怒り,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
疑問,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
気持ち,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
育て,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
侵入,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
負担,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
接近,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
伴っ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
才能,1.0,8.0,0.0,2.0,0.0,0.0,0.0,3.0
真実,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0
奪わ,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
抑え,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
送ら,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
図る,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
成果,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
何度,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
後任,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
無かっ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
出会っ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
一面,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
厳しい,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
徐々に,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
示さ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
積極,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
起こす,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0
処刑,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0
故障,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
軍団,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
進み,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
支え,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0
降格,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
忘れ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
演技,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
守備,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
追放,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
数々,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
決める,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
回避,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
意思,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
犯罪,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
難しい,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
帰っ,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
反発,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0
働き,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
印象,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
美しい,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
告白,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0
衝撃,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
想い,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
威力,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
